1.33151000,1.33311000,1.33116000,1.33275000
1.33277000,1.33296000,1.33062000,1.33212000
1.33211000,1.33444000,1.33091000,1.33188000
1.33188000,1.33192000,1.32510000,1.32774000
1.32775000,1.32843000,1.32532000,1.32717000
1.32714000,1.33032000,1.32631000,1.33004000
1.33005000,1.33557000,1.32930000,1.33413000
1.33413000,1.33584000,1.33413000,1.33551000
1.33552000,1.33675000,1.33239000,1.33400000
1.33398000,1.33661000,1.33268000,1.33408000
1.33404000,1.33552000,1.33084000,1.33342000
1.33316000,1.33463000,1.33235000,1.33418000
1.33591000,1.33753000,1.33353000,1.33379000
1.33381000,1.33449000,1.33304000,1.33396000
1.33393000,1.33787000,1.33331000,1.33547000
1.33549000,1.33610000,1.33061000,1.33079000
1.33080000,1.33369000,1.32773000,1.33270000
1.33268000,1.33331000,1.33179000,1.33181000
1.33183000,1.33415000,1.33126000,1.33415000
1.33414000,1.33544000,1.33241000,1.33368000
1.33368000,1.33527000,1.33284000,1.33324000
1.33325000,1.33665000,1.32994000,1.33170000
1.33170000,1.33450000,1.32984000,1.33283000
1.33284000,1.33400000,1.32124000,1.32320000
1.32320000,1.32378000,1.32162000,1.32241000
1.32240000,1.32285000,1.31830000,1.31847000
1.31848000,1.32111000,1.31634000,1.31712000
1.31714000,1.31756000,1.31091000,1.31185000
1.31183000,1.31451000,1.31062000,1.31350000
1.31353000,1.31470000,1.31253000,1.31409000
1.31409000,1.31518000,1.31342000,1.31481000
1.31481000,1.31578000,1.31365000,1.31547000
1.31547000,1.31633000,1.31105000,1.31147000
1.31145000,1.31215000,1.30380000,1.30485000
1.30487000,1.30737000,1.30342000,1.30600000
1.30600000,1.30670000,1.30542000,1.30640000
1.30639000,1.30660000,1.30525000,1.30568000
1.30569000,1.30702000,1.30568000,1.30664000
1.30663000,1.30771000,1.30613000,1.30650000
1.30650000,1.31113000,1.30501000,1.30986000
1.30981000,1.31028000,1.30724000,1.31019000
1.31018000,1.31048000,1.30871000,1.30885000
1.31006000,1.31030000,1.30419000,1.30422000
1.30422000,1.30708000,1.30323000,1.30685000
1.30688000,1.30848000,1.30553000,1.30749000
1.30746000,1.30790000,1.30623000,1.30683000
1.30684000,1.31287000,1.30476000,1.31283000
1.31283000,1.31327000,1.31042000,1.31042000
1.31041000,1.31165000,1.30980000,1.31149000
1.31149000,1.31434000,1.31070000,1.31303000
1.31303000,1.31313000,1.30719000,1.30875000
1.30876000,1.31369000,1.30588000,1.31143000
1.31144000,1.31188000,1.30534000,1.30883000
1.30882000,1.30995000,1.30694000,1.30804000
1.30804000,1.30847000,1.30654000,1.30756000
1.30755000,1.30953000,1.30713000,1.30938000
1.30938000,1.31321000,1.30873000,1.31104000
1.31102000,1.31559000,1.31037000,1.31350000
1.31350000,1.31528000,1.31013000,1.31175000
1.31174000,1.31174000,1.30924000,1.31084000
1.31084000,1.31238000,1.31060000,1.31132000
