Open,High,Low,Close
1.0995063,1.1016176,1.1060416,1.1013429
1.1005442,1.1026531,1.1070374,1.1023751
1.1007427,1.1028543,1.1072222,1.1025727
1.1000868,1.102205,1.1066104,1.1019461
1.1000143,1.1021286,1.106522,1.1018397
1.0987531,1.1008711,1.1053586,1.1006534
1.0975819,1.0996871,1.1042136,1.0994414
1.1000129,1.1021142,1.1065385,1.1018496
1.1007715,1.1028861,1.1072587,1.1026149
1.1007245,1.1028349,1.1071936,1.1025364
1.1017104,1.1038201,1.1081336,1.1035134
1.1012114,1.103325,1.1076881,1.103065
1.1007811,1.1028996,1.1072735,1.1026282
1.1009421,1.1030387,1.1074092,1.1027502
1.1020381,1.1041554,1.1084784,1.1038871
1.1025252,1.1046292,1.1089112,1.1043084
1.1045679,1.1066763,1.1108593,1.1063414
1.1025903,1.104702,1.1090344,1.1044734
1.0987548,1.100876,1.105379,1.1006799
1.0937845,1.0959061,1.1006516,1.0957764
1.0917755,1.0939013,1.0986769,1.0937042
1.0912803,1.0934032,1.0981946,1.0931964
1.0924337,1.0945519,1.0992957,1.0943407
1.0923135,1.0944421,1.0992284,1.0942914
1.0888802,1.0910099,1.0959476,1.0908871
1.0870134,1.0891428,1.0941572,1.0890198
1.0867826,1.0889181,1.0939233,1.0887742
1.0870006,1.0891321,1.0941176,1.0889692
1.0873948,1.0895252,1.0944972,1.0893672
1.0865133,1.0886478,1.093689,1.0885408
1.0861353,1.0882626,1.093295,1.0881113
1.0854017,1.0875282,1.0926317,1.0874412
1.0854745,1.0876077,1.0926676,1.087465
1.086028,1.0881628,1.0932,1.088022
1.0853509,1.087485,1.0925565,1.087357
1.0854251,1.0875529,1.0926236,1.0874184
1.0846971,1.0868334,1.091957,1.0867443
1.0835044,1.0856327,1.0907934,1.0855191
1.0851383,1.0872688,1.0923444,1.0871265
1.0860367,1.0881695,1.0931991,1.0880189
1.0855721,1.0877068,1.0927758,1.0875883
1.0855356,1.0876696,1.092727,1.0875275
1.0878344,1.0899541,1.094908,1.0897746
1.0919983,1.0941107,1.098899,1.0939171
1.0943567,1.0964792,1.1011316,1.0962479
1.0939668,1.0960913,1.1007704,1.095883
1.0937,1.0958191,1.1005028,1.0955951
1.0944604,1.0965725,1.1012417,1.0963612
1.0949303,1.0970231,1.1017045,1.0968343
1.0984727,1.1005824,1.1050869,1.1003486
1.0992203,1.1013315,1.1057614,1.1010499
1.0978134,1.0999343,1.1044258,1.0996712
1.0979083,1.1000267,1.1045083,1.0997537
1.096115,1.0982342,1.1028531,1.098056
1.0946413,1.0967596,1.1014103,1.096539
1.0977579,1.0998523,1.1043684,1.09958
1.1005099,1.1026233,1.1070044,1.1023495
1.1005871,1.1027025,1.1070648,1.1024075
1.1008832,1.1030002,1.1073515,1.102707
1.1011117,1.1032307,1.1075844,1.1029509
1.1010478,1.1031532,1.1075062,1.1028574
1.101947,1.1040635,1.1083943,1.1037958
1.0999649,1.1020756,1.1064852,1.1018102
1.0984584,1.1005757,1.1050712,1.100353
1.0967071,1.0988259,1.1033773,1.098586
1.0963829,1.0985034,1.1030744,1.098271
1.0951852,1.0973095,1.1019454,1.0971065
1.0979548,1.1000472,1.1045519,1.099763
1.1003019,1.1024199,1.106829,1.1021786
1.0978402,1.0999565,1.1044726,1.0997263
1.0970126,1.0991304,1.1036636,1.0988799
1.0962337,1.0983536,1.1029335,1.0981286
1.091578,1.0936664,1.0986003,1.0936419
