Open,High,Low,Close
1.2701441,1.2739745,1.2690508,1.270381
1.2701647,1.2739803,1.2690692,1.2704022
1.2701657,1.2739842,1.2690705,1.2704022
1.27015,1.2739797,1.2690617,1.2703921
1.2701534,1.2739773,1.2690587,1.27039
1.270124,1.2739702,1.2690436,1.2703716
1.2701114,1.27396,1.2690219,1.2703496
1.2701598,1.2739737,1.2690634,1.2703975
1.2701646,1.2739841,1.2690723,1.2704041
1.2701672,1.2739836,1.2690687,1.2704008
1.2701852,1.2739908,1.2690846,1.270418
1.2701721,1.2739873,1.2690809,1.2704135
1.2701651,1.2739817,1.2690743,1.2704074
1.2701782,1.2739818,1.2690756,1.2704102
1.2701863,1.2739925,1.2690945,1.2704288
1.2702061,1.2739921,1.2690996,1.2704372
1.2702392,1.2740095,1.2691308,1.2704701
1.2701963,1.2739958,1.2691082,1.270444
1.2701226,1.2739686,1.2690469,1.2703758
1.2700294,1.2739348,1.2689688,1.2702885
1.2699953,1.2739217,1.2689271,1.2702425
1.2699887,1.2739178,1.2689179,1.270233
1.2700108,1.2739265,1.2689366,1.2702532
1.270002,1.2739244,1.2689419,1.270259
1.2699369,1.2739029,1.2688848,1.2701942
1.2699047,1.2738888,1.2688537,1.2701606
1.2698991,1.2738875,1.2688476,1.2701535
1.2699054,1.2738893,1.268849,1.2701553
1.269912,1.2738929,1.2688555,1.270162
1.2698921,1.273886,1.2688464,1.2701517
1.2698919,1.2738822,1.268836,1.2701417
1.2698739,1.2738788,1.2688292,1.2701324
1.2698766,1.2738785,1.2688252,1.2701291
1.2698854,1.2738829,1.2688345,1.2701391
1.269872,1.2738793,1.2688236,1.2701261
1.2698773,1.2738781,1.2688252,1.2701291
1.2698574,1.2738745,1.2688167,1.2701181
1.2698413,1.2738653,1.2687943,1.2700943
1.269872,1.2738758,1.2688197,1.2701231
1.2698863,1.2738837,1.2688329,1.270137
1.2698753,1.2738806,1.2688285,1.2701315
1.2698774,1.2738788,1.2688262,1.2701303
1.2699287,1.2738914,1.2688636,1.270174
1.2700093,1.273917,1.2689353,1.2702554
1.2700454,1.2739388,1.268968,1.2702887
1.2700347,1.2739382,1.2689624,1.2702811
1.2700336,1.2739353,1.2689567,1.2702755
1.2700506,1.2739389,1.2689719,1.2702935
1.2700666,1.27394,1.2689836,1.2703077
1.2701285,1.2739613,1.2690415,1.2703736
1.2701391,1.2739729,1.269045,1.2703744
1.2701086,1.2739642,1.2690226,1.2703487
1.2701114,1.2739651,1.269023,1.2703489
1.2700741,1.273952,1.2690028,1.270326
1.2700514,1.2739409,1.2689738,1.270295
1.2701241,1.2739563,1.2690252,1.2703565
1.2701601,1.2739828,1.2690673,1.2703985
1.2701621,1.2739832,1.2690666,1.2703978
1.2701669,1.2739851,1.2690718,1.2704036
1.2701709,1.2739844,1.2690785,1.2704121
1.2701758,1.2739844,1.2690754,1.270409
1.2701863,1.27399,1.2690942,1.2704295
1.2701508,1.2739793,1.2690586,1.2703887
1.270119,1.2739686,1.2690377,1.2703649
1.2700876,1.2739573,1.2690055,1.2703294
1.2700819,1.2739533,1.2690021,1.270326
1.2700568,1.2739456,1.2689844,1.2703058
1.2701305,1.2739556,1.2690287,1.2703618
1.2701529,1.2739811,1.2690674,1.270398
1.270109,1.2739639,1.2690266,1.2703531
1.2700943,1.273959,1.2690098,1.2703344
1.2700781,1.2739538,1.2689992,1.2703221
1.2700002,1.2739148,1.2689449,1.2702644
1.2703122,1.2739761,1.2691551,1.2705201
1.270486,1.2740992,1.2693474,1.2707118
1.2704808,1.274095,1.2693377,1.2707019
1.2704636,1.2740929,1.2693231,1.2706839
1.2703942,1.2740676,1.2692811,1.2706369
1.270345,1.2740453,1.2692186,1.2705688
1.2704153,1.2740643,1.2692803,1.2706407
1.270419,1.2740766,1.2692863,1.270643
1.270394,1.2740669,1.269261,1.2706147
1.2704221,1.2740743,1.2692878,1.270646
1.2704264,1.2740784,1.26929,1.2706474
1.2703912,1.274066,1.2692697,1.2706244
1.2703508,1.2740508,1.2692306,1.2705812
1.2703164,1.2740393,1.2692053,1.2705525
1.2703087,1.2740331,1.2691884,1.270535
1.2703265,1.2740421,1.2692038,1.2705512
1.2703325,1.2740452,1.2692116,1.2705597
1.2703015,1.2740335,1.2691952,1.2705414
1.2703108,1.2740297,1.2691914,1.27054
1.2703276,1.27404,1.2692049,1.2705532
1.2703334,1.274046,1.2692131,1.2705609
1.2703263,1.2740428,1.2692064,1.2705537
1.2703189,1.2740407,1.2692013,1.2705479
1.2703043,1.274034,1.2691875,1.2705327
1.2702755,1.2740248,1.2691714,1.2705144
1.2702782,1.2740207,1.269161,1.270505
1.2704568,1.2740611,1.2693007,1.2706704
1.2705303,1.2741165,1.2693781,1.2707455
1.2705418,1.2741199,1.2693875,1.2707565
1.2706378,1.2741394,1.2694566,1.2708396
1.2707254,1.2741791,1.2695395,1.2709289
1.2707312,1.2741876,1.2695506,1.2709386
1.270725,1.2741878,1.2695429,1.2709295
1.2707366,1.2741885,1.269551,1.2709398
1.2707275,1.274189,1.2695487,1.2709357
1.2706704,1.2741672,1.2695063,1.2708887
1.2706645,1.2741609,1.269489,1.2708709
1.2706642,1.2741638,1.269497,1.2708787
1.2706438,1.2741575,1.2694749,1.2708535
1.2706283,1.2741516,1.2694595,1.2708366
1.2706503,1.2741582,1.2694767,1.2708563
1.2706462,1.2741598,1.2694792,1.2708579
1.2706184,1.2741477,1.2694541,1.2708304
1.270629,1.2741506,1.2694639,1.2708421
1.2706059,1.2741435,1.2694454,1.2708207
1.2705896,1.2741386,1.269431,1.2708044
1.2705778,1.2741339,1.2694186,1.2707907
1.2705972,1.2741382,1.2694321,1.2708069
1.2705556,1.2741249,1.2694122,1.2707837
1.2705402,1.274116,1.269384,1.2707536
1.2705486,1.2741218,1.2693955,1.2707654
1.2705374,1.2741196,1.269385,1.270753
1.2705352,1.2741187,1.2693828,1.2707506
1.2705227,1.2741153,1.2693737,1.2707402
1.2704968,1.274105,1.2693537,1.2707182
1.270478,1.274096,1.2693359,1.2706988
1.2704691,1.2740934,1.2693255,1.2706871
1.27047,1.2740953,1.2693278,1.270689
1.2704586,1.274091,1.2693201,1.2706808
1.2704543,1.2740892,1.269313,1.2706729
1.2704473,1.2740859,1.2693084,1.2706679
1.2704419,1.2740825,1.2693075,1.2706676
1.2704569,1.2740854,1.2693114,1.2706727
1.2704695,1.2740955,1.2693276,1.2706887
1.2704426,1.2740862,1.2693092,1.2706679
1.270436,1.274082,1.2692963,1.2706543
1.2704402,1.2740842,1.269301,1.2706596
1.2704465,1.274086,1.2693069,1.2706662
1.2704433,1.274086,1.2693042,1.2706624
1.2704433,1.274086,1.2693043,1.2706629
1.2704294,1.2740805,1.2692934,1.2706507
1.2704319,1.2740809,1.2692935,1.2706512
1.2704446,1.274085,1.2693039,1.2706629
1.2704587,1.2740887,1.2693154,1.2706763
1.2704958,1.2740996,1.2693499,1.2707161
1.2705011,1.2741054,1.2693537,1.2707188
1.2705001,1.2741063,1.2693523,1.2707165
1.2704918,1.2741033,1.2693468,1.2707106
1.2704774,1.274097,1.2693361,1.2706988
1.2705076,1.2741022,1.2693533,1.2707201
1.2705835,1.2741228,1.2694151,1.2707915
1.2706617,1.2741582,1.2694862,1.2708687
1.2706805,1.2741699,1.2695032,1.2708858
1.2706851,1.2741729,1.2695084,1.2708908
1.270719,1.2741798,1.2695352,1.270923
1.2707294,1.2741878,1.2695506,1.2709386
1.2707423,1.2741868,1.2695618,1.2709534
1.2707523,1.2741938,1.2695628,1.2709532
1.2707548,1.2741985,1.2695694,1.2709589
1.2707347,1.2741916,1.2695531,1.2709407
1.2707726,1.2741965,1.2695763,1.2709699
1.27084,1.2742218,1.2696353,1.2710356
1.270862,1.2742354,1.2696627,1.2710642
1.2708482,1.2742318,1.2696483,1.2710475
1.2708471,1.2742312,1.2696449,1.2710437
1.2708384,1.274229,1.26964,1.2710377
1.2708627,1.2742329,1.2696544,1.2710558
1.2708946,1.2742442,1.2696899,1.2710956
1.2708606,1.2742316,1.2696596,1.2710611
1.2708687,1.2742388,1.2696644,1.2710654
1.2708863,1.2742448,1.2696776,1.2710801
1.2708721,1.2742414,1.2696732,1.2710748
1.2708416,1.2742293,1.2696455,1.2710443
1.2708552,1.2742288,1.2696477,1.2710487
1.2708728,1.2742391,1.2696687,1.2710706
1.2708701,1.27424,1.2696675,1.2710688
1.2708725,1.2742395,1.2696645,1.2710657
1.2708716,1.274241,1.2696689,1.2710701
1.2708322,1.2742255,1.2696388,1.2710366
1.270825,1.2742212,1.2696265,1.2710236
1.2708477,1.2742246,1.2696419,1.2710425
1.2708616,1.2742375,1.2696613,1.2710615
1.2708486,1.2742326,1.2696466,1.2710453
1.2708365,1.2742286,1.269639,1.2710365
1.2708031,1.2742162,1.2696141,1.2710086
1.2708015,1.2742102,1.2696046,1.2710001
1.2708805,1.274232,1.2696681,1.2710738
1.2708937,1.2742485,1.2696906,1.2710944
1.270893,1.2742457,1.2696819,1.2710857
1.2708942,1.274249,1.2696863,1.2710892
1.2708871,1.2742393,1.2696906,1.2710973
1.2708493,1.2742298,1.2696519,1.2710521
1.2708355,1.2742227,1.2696384,1.2710377
1.2708347,1.2742265,1.2696344,1.2710317
1.2708277,1.2742254,1.2696308,1.2710274
1.2708186,1.2742217,1.2696224,1.2710181
1.2708393,1.2742233,1.2696356,1.2710351
1.2708315,1.2742257,1.2696391,1.2710369
1.2708694,1.2742302,1.2696589,1.2710627
1.270882,1.2742455,1.269678,1.2710799
1.2708911,1.2742491,1.2696878,1.2710907
1.2708976,1.2742465,1.2696874,1.2710924
1.2708845,1.2742426,1.2696837,1.2710873
1.2708899,1.2742419,1.2696795,1.271084
1.2709157,1.2742519,1.269707,1.2711147
1.2708977,1.27425,1.2696904,1.271094
1.2708963,1.2742488,1.2696859,1.2710893
1.2708992,1.2742507,1.2696903,1.271094
1.2709408,1.2742578,1.2697247,1.2711357
1.2708917,1.2742488,1.2696968,1.2711009
1.2708403,1.2742257,1.2696433,1.2710427
1.2708511,1.2742307,1.2696489,1.2710489
1.2708489,1.2742325,1.269648,1.271047
1.2708309,1.274227,1.2696351,1.2710317
1.270789,1.2742119,1.2696038,1.2709969
1.2707336,1.2741902,1.2695559,1.2709439
1.2706918,1.274174,1.2695222,1.2709066
1.270655,1.2741623,1.269487,1.270867
1.2706391,1.2741561,1.2694725,1.2708511
1.2706257,1.2741513,1.2694598,1.2708367
1.2706211,1.274147,1.2694533,1.2708302
1.2706453,1.2741542,1.2694755,1.2708558
1.2706332,1.2741532,1.2694689,1.2708471
1.270629,1.2741513,1.269461,1.2708386
1.2706176,1.274149,1.2694542,1.2708302
1.2706175,1.274148,1.2694498,1.2708257
1.2706228,1.274149,1.2694558,1.2708325
1.2706467,1.2741549,1.269477,1.2708577
1.2706809,1.2741654,1.2695037,1.2708881
1.2706794,1.2741704,1.2695091,1.2708918
1.2706898,1.2741749,1.2695144,1.2708975
1.2706729,1.2741688,1.2695001,1.2708815
1.2706856,1.2741692,1.269507,1.2708908
1.2707069,1.2741791,1.2695273,1.2709126
1.2707278,1.2741843,1.2695421,1.2709302
1.2707268,1.2741886,1.2695476,1.2709345
1.2707125,1.274183,1.2695317,1.2709168
1.2707295,1.2741874,1.2695435,1.270931
1.2707504,1.274194,1.2695637,1.2709538
1.2707797,1.2742026,1.269585,1.2709783
1.2708244,1.2742192,1.2696236,1.2710215
1.2708194,1.2742221,1.2696276,1.2710239
1.2708023,1.2742159,1.2696074,1.2710015
1.2708112,1.2742178,1.2696158,1.2710112
1.2708107,1.2742176,1.2696136,1.2710086
1.2708257,1.2742221,1.2696297,1.2710273
1.2707752,1.274206,1.269595,1.2709874
1.2707096,1.274183,1.2695377,1.2709231
1.2706909,1.2741746,1.2695132,1.2708966
1.2706852,1.2741733,1.2695104,1.270893
1.270685,1.2741712,1.2695101,1.2708937
1.2707853,1.2741895,1.2695829,1.2709819
1.270754,1.2741951,1.2695897,1.2709825
1.2706785,1.2741714,1.2695059,1.2708879
1.2706798,1.2741694,1.2695017,1.2708843
1.2706895,1.2741743,1.2695142,1.2708974
1.2706628,1.2741642,1.2694967,1.2708778
1.2706276,1.2741517,1.2694656,1.2708431
1.2705829,1.2741355,1.269433,1.2708068
1.2705532,1.2741244,1.2693987,1.270769
1.270553,1.2741227,1.2693962,1.2707667
1.2705752,1.2741307,1.269414,1.2707863
1.2705998,1.2741385,1.2694346,1.2708098
1.2706075,1.2741442,1.2694455,1.2708211
1.2706219,1.2741461,1.2694539,1.2708316
1.2706331,1.2741534,1.2694653,1.2708431
1.2706295,1.2741526,1.2694618,1.2708391
1.2706292,1.2741528,1.2694628,1.2708402
1.2706598,1.2741573,1.2694829,1.270865
1.270695,1.2741714,1.2695156,1.2709008
1.2707092,1.2741789,1.269536,1.2709233
