Open,High,Low,Close
1.1080407,1.1058048,1.1074057,1.1023986
1.1090344,1.1068205,1.1083944,1.103431
1.109221,1.1070184,1.1085718,1.1036152
1.1086171,1.106388,1.1079644,1.1029774
1.1085291,1.106311,1.107892,1.1029087
1.1073583,1.105077,1.1067109,1.1016623
1.1062001,1.1039035,1.1055864,1.1004971
1.108524,1.1062855,1.1078994,1.1029139
1.1092609,1.1070527,1.1086073,1.1036502
1.1091939,1.1069989,1.1085508,1.103597
1.1101334,1.1079651,1.1094813,1.1045686
1.1096866,1.1074823,1.1090263,1.1040848
1.1092855,1.1070732,1.1086354,1.1036805
1.1093882,1.1071864,1.1087579,1.1038129
1.1104845,1.1083022,1.109816,1.1049098
1.1109078,1.1087574,1.1102649,1.1053904
1.112861,1.1107693,1.1121888,1.1073973
1.1110247,1.1088321,1.1103458,1.1054546
1.1073824,1.1050867,1.1067319,1.1016804
1.1026458,1.1002053,1.1020305,1.0967653
1.100689,1.0982419,1.1001067,1.0947725
1.1002046,1.0977505,1.0996332,1.0942811
1.1012975,1.0988728,1.100716,1.0954108
1.1012388,1.0987765,1.1006407,1.0953205
1.0979534,1.0954041,1.0973785,1.0919124
1.0961646,1.0935717,1.0956134,1.0900726
1.095944,1.0933579,1.0953956,1.0898492
1.0961343,1.0935637,1.0955899,1.0900556
1.0965103,1.0939476,1.095959,1.0904391
1.0957016,1.0930903,1.0951464,1.0895821
1.0953045,1.0927061,1.0947721,1.0892013
1.0946274,1.0919808,1.0940838,1.0884701
1.0946847,1.0920687,1.0941514,1.0885519
1.0952187,1.092615,1.0946767,1.0890988
1.0945705,1.091947,1.0940303,1.088422
1.0946304,1.0920085,1.0940993,1.0884962
1.0939685,1.0913088,1.0934254,1.0877833
1.0927969,1.090122,1.0922799,1.0865947
1.0943574,1.0917329,1.0938301,1.088217
1.095215,1.0926183,1.0946741,1.0890979
1.0947896,1.0921656,1.0942447,1.0886437
1.0947453,1.0921302,1.0942109,1.0886137
1.096912,1.0943621,1.0963798,1.0908848
1.1008955,1.0984391,1.1003356,1.0950139
