Open,High,Low,Close
1.1091323,1.1121577,1.1108128,1.1131986
1.1101273,1.1131374,1.1117905,1.1141633
1.1102979,1.1133189,1.1119515,1.1143351
1.1096708,1.1126937,1.1113467,1.1137348
1.1096233,1.1126522,1.1112965,1.1136833
1.1083978,1.1114105,1.110107,1.1124907
1.1073108,1.1103281,1.1090311,1.1114107
1.1096416,1.1126317,1.1113195,1.1136744
1.1103245,1.1133422,1.111983,1.1143653
1.1102885,1.1133157,1.1119393,1.114325
1.1112219,1.1142447,1.1128514,1.1152338
1.1107379,1.1137449,1.1123898,1.1147654
1.1103525,1.1133666,1.112022,1.1143998
1.1105138,1.1135085,1.1121598,1.1145175
1.111527,1.1145331,1.1131666,1.1155413
1.1120275,1.1150303,1.1136465,1.1160082
1.1139438,1.1169497,1.115517,1.1178845
1.1120427,1.1150151,1.1136769,1.1160299
1.1084062,1.1114061,1.1101278,1.112503
1.1036743,1.1066885,1.1054987,1.1078895
1.1017828,1.1048576,1.1036308,1.1060601
1.10132,1.1043997,1.1031741,1.1056049
1.1024082,1.1054769,1.1042339,1.1066567
1.1022899,1.105335,1.104144,1.1065556
1.0990112,1.1020821,1.1009268,1.1033617
1.0972512,1.1003354,1.0992042,1.1016469
1.0970367,1.1001412,1.098994,1.1014507
1.0972453,1.1003543,1.0991902,1.1016481
1.097611,1.1007156,1.0995458,1.102002
1.0967683,1.0998566,1.0987359,1.1011847
1.0964302,1.099533,1.0983927,1.1008452
1.0957056,1.098786,1.0976893,1.1001332
1.0957963,1.0989097,1.0977755,1.1002382
1.096317,1.0994276,1.0982863,1.1007481
1.0956631,1.0987762,1.0976431,1.1001091
1.095747,1.0988506,1.097724,1.1001794
1.0950358,1.098136,1.0970387,1.0994987
1.093917,1.0970296,1.0959314,1.0983958
1.0954794,1.0985918,1.097463,1.0999242
1.0963204,1.099437,1.0982828,1.1007487
1.0958719,1.0989782,1.097851,1.1003128
1.0958546,1.0989678,1.0978335,1.1002964
1.0980654,1.1011513,1.0999924,1.1024263
1.1020395,1.1050751,1.1038918,1.1062841
1.104244,1.1073066,1.1060377,1.1084545
1.1038532,1.1069163,1.1056544,1.108076
1.1036103,1.1066754,1.1054107,1.1078304
1.1043397,1.1073779,1.1061279,1.1085265
1.1047933,1.1077873,1.1065674,1.1089307
1.1081865,1.1111791,1.1099111,1.1122696
1.1088603,1.1118932,1.1105434,1.1129342
1.1075174,1.1105669,1.109236,1.1116426
1.1076065,1.1106591,1.1093179,1.1117259
1.105888,1.1089061,1.1076547,1.1100453
1.1045089,1.107559,1.1062953,1.1087035
1.1075194,1.1105216,1.1092361,1.111595
1.110074,1.1130959,1.1117345,1.1141199
1.1101537,1.1131877,1.1118103,1.1142027
1.1104351,1.1134664,1.1120887,1.1144794
1.1106637,1.1136816,1.1123241,1.1147045
1.1106043,1.1136171,1.11225,1.1146232
1.111454,1.114454,1.1131005,1.1154686
1.1095526,1.1125733,1.1112214,1.1136065
1.1081166,1.1111354,1.1098281,1.112216
1.106457,1.1095052,1.1081964,1.1106043
1.1061594,1.1092035,1.1079127,1.1103165
1.1050137,1.1080592,1.1067967,1.1092054
1.107724,1.1107221,1.1094395,1.1117917
1.10987,1.1128812,1.1115457,1.1139268
1.1075357,1.1105618,1.1092575,1.1116492
1.1067512,1.1097999,1.1084828,1.1108897
1.1060057,1.109051,1.1077579,1.1101651
1.1015878,1.1045158,1.1034591,1.1057862
1.1145977,1.1174107,1.1161815,1.1183506
1.1265206,1.1294339,1.1278276,1.1301236
1.1260693,1.1289896,1.127381,1.1296781
1.1252799,1.1282096,1.126597,1.1289053
1.1220856,1.1249816,1.1235054,1.1257986
1.1190135,1.121961,1.1204675,1.1227881
1.1225014,1.1254184,1.123902,1.1261927
1.12311,1.12606,1.1244814,1.1268054
1.1217384,1.1247042,1.1231328,1.1254668
1.1231656,1.1261114,1.1245419,1.1268592
1.1234171,1.1263716,1.1247786,1.1271037
1.1217566,1.1246798,1.123168,1.1254767
1.1196456,1.1225986,1.1210977,1.1234267
1.1180507,1.1210128,1.1195462,1.1218845
1.1173333,1.1203115,1.1188297,1.1211734
1.118315,1.1212958,1.1197851,1.1221322
